,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
739,44,blue-collar,married,unknown,unknown,yes,no,telephone,may,tue,336,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
36088,28,services,married,basic.9y,no,no,no,cellular,may,tue,396,3,999,0,-1.8,92.893,-46.2,1.266,5099.1,1
4981,33,services,divorced,high.school,no,yes,yes,telephone,may,wed,88,3,999,0,1.1,93.994,-36.4,4.858,5191.0,0
17073,51,entrepreneur,married,basic.6y,unknown,no,no,cellular,jul,fri,190,2,999,0,1.4,93.918,-42.7,4.962,5228.1,0
9077,50,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,182,1,999,0,1.4,94.465,-41.8,4.866,5228.1,0
29421,48,services,single,high.school,no,yes,no,cellular,apr,mon,1202,3,999,0,-1.8,93.075,-47.1,1.405,5099.1,1
21555,37,self-employed,single,university.degree,no,yes,no,cellular,aug,tue,121,1,999,0,1.4,93.444,-36.1,4.963,5228.1,0
6362,45,blue-collar,married,basic.6y,unknown,no,no,telephone,may,tue,858,6,999,0,1.1,93.994,-36.4,4.857,5191.0,1
29766,31,services,divorced,high.school,no,yes,no,cellular,apr,mon,267,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0
34620,51,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,668,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,1
5919,40,blue-collar,married,high.school,no,no,yes,telephone,may,tue,121,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
15071,37,blue-collar,married,basic.4y,no,no,no,cellular,jul,thu,89,1,999,0,1.4,93.918,-42.7,4.958,5228.1,0
20280,40,management,married,university.degree,no,yes,no,cellular,aug,mon,385,3,999,0,1.4,93.444,-36.1,4.965,5228.1,0
745,39,blue-collar,divorced,basic.6y,unknown,yes,no,telephone,may,tue,305,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
40073,34,self-employed,single,university.degree,no,no,no,cellular,jul,thu,967,3,999,0,-1.7,94.215,-40.3,0.81,4991.6,1
20081,36,technician,married,professional.course,no,yes,no,cellular,aug,mon,45,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0
12476,49,unemployed,divorced,basic.9y,unknown,no,no,cellular,jul,mon,326,3,999,0,1.4,93.918,-42.7,4.96,5228.1,0
39845,23,student,single,high.school,no,yes,no,telephone,jun,mon,434,1,9,1,-1.7,94.055,-39.8,0.72,4991.6,1
14178,40,services,married,basic.6y,no,no,no,cellular,jul,mon,247,2,999,0,1.4,93.918,-42.7,4.962,5228.1,0
39638,50,admin.,married,university.degree,no,yes,no,cellular,may,wed,176,2,3,3,-1.8,93.876,-40.0,0.682,5008.7,1
7082,52,services,married,basic.9y,unknown,no,no,telephone,may,thu,80,3,999,0,1.1,93.994,-36.4,4.86,5191.0,0
6748,29,services,married,basic.9y,no,yes,no,telephone,may,wed,94,3,999,0,1.1,93.994,-36.4,4.857,5191.0,0
5108,37,technician,single,basic.9y,no,no,yes,telephone,may,fri,298,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
29828,31,admin.,single,university.degree,no,yes,yes,cellular,apr,mon,885,5,999,1,-1.8,93.075,-47.1,1.405,5099.1,1
1319,54,admin.,married,university.degree,no,no,no,telephone,may,thu,513,1,999,0,1.1,93.994,-36.4,4.855,5191.0,1
18723,34,technician,divorced,unknown,no,yes,no,cellular,jul,thu,46,21,999,0,1.4,93.918,-42.7,4.968,5228.1,0
32993,32,blue-collar,married,basic.9y,no,no,no,cellular,may,mon,206,2,999,0,-1.8,92.893,-46.2,1.299,5099.1,0
20270,30,technician,married,university.degree,no,no,yes,cellular,aug,mon,117,3,999,0,1.4,93.444,-36.1,4.965,5228.1,0
40672,45,unemployed,married,professional.course,unknown,no,no,telephone,sep,thu,1405,1,6,2,-1.1,94.199,-37.5,0.879,4963.6,1
37989,41,admin.,married,university.degree,no,no,no,cellular,sep,mon,800,2,999,1,-3.4,92.379,-29.8,0.797,5017.5,1
38008,39,self-employed,divorced,high.school,no,no,no,cellular,sep,tue,108,2,3,1,-3.4,92.379,-29.8,0.788,5017.5,1
33969,33,admin.,single,high.school,no,yes,no,cellular,may,wed,162,1,999,1,-1.8,92.893,-46.2,1.281,5099.1,0
30632,39,unemployed,single,basic.9y,no,yes,no,telephone,may,mon,846,2,999,0,-1.8,92.893,-46.2,1.354,5099.1,0
39304,52,technician,married,basic.9y,no,no,no,cellular,mar,wed,272,3,999,0,-1.8,93.369,-34.8,0.644,5008.7,1
12583,52,blue-collar,married,basic.9y,no,no,no,cellular,jul,mon,535,1,999,0,1.4,93.918,-42.7,4.96,5228.1,0
40490,33,management,married,university.degree,no,no,no,telephone,aug,thu,201,1,6,2,-1.7,94.027,-38.3,0.899,4991.6,1
5863,24,admin.,married,basic.9y,no,yes,no,telephone,may,mon,764,2,999,0,1.1,93.994,-36.4,4.857,5191.0,1
13287,52,services,married,high.school,no,no,no,cellular,jul,wed,183,1,999,0,1.4,93.918,-42.7,4.962,5228.1,0
9667,32,services,married,unknown,no,no,no,telephone,jun,mon,98,4,999,0,1.4,94.465,-41.8,4.961,5228.1,0
37664,56,management,married,university.degree,no,yes,no,cellular,aug,tue,370,2,999,0,-2.9,92.201,-31.4,0.859,5076.2,1
15902,50,entrepreneur,married,basic.9y,unknown,no,no,cellular,jul,mon,262,4,999,0,1.4,93.918,-42.7,4.96,5228.1,0
3485,55,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,thu,190,6,999,0,1.1,93.994,-36.4,4.86,5191.0,0
38717,41,admin.,married,university.degree,no,yes,no,cellular,nov,tue,95,1,3,1,-3.4,92.649,-30.1,0.715,5017.5,1
23255,48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,87,4,999,0,1.4,93.444,-36.1,4.964,5228.1,0
35385,34,blue-collar,married,basic.4y,unknown,no,no,cellular,may,fri,149,7,999,0,-1.8,92.893,-46.2,1.25,5099.1,0
3091,58,blue-collar,married,basic.4y,unknown,yes,no,telephone,may,thu,148,3,999,0,1.1,93.994,-36.4,4.86,5191.0,0
24963,31,student,single,high.school,no,yes,yes,cellular,nov,tue,107,1,999,0,-0.1,93.2,-42.0,4.153,5195.8,0
16383,31,technician,married,basic.9y,no,no,no,cellular,jul,wed,500,3,999,0,1.4,93.918,-42.7,4.963,5228.1,0
20292,36,technician,single,professional.course,no,no,no,cellular,aug,mon,345,3,999,0,1.4,93.444,-36.1,4.965,5228.1,0
40137,29,technician,single,basic.9y,no,yes,no,cellular,jul,wed,603,1,999,0,-1.7,94.215,-40.3,0.84,4991.6,1
36579,35,admin.,married,university.degree,no,no,no,cellular,jun,thu,510,3,999,0,-2.9,92.963,-40.8,1.26,5076.2,1
17199,42,admin.,married,high.school,no,yes,no,cellular,jul,fri,311,6,999,0,1.4,93.918,-42.7,4.962,5228.1,0
37332,26,student,single,professional.course,no,yes,no,cellular,aug,tue,176,2,999,1,-2.9,92.201,-31.4,0.883,5076.2,1
29663,34,blue-collar,married,basic.9y,no,yes,no,cellular,apr,mon,318,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,0
35559,33,blue-collar,single,high.school,no,no,no,cellular,may,mon,2301,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,1
31144,36,management,married,basic.9y,no,yes,no,cellular,may,wed,503,2,999,1,-1.8,92.893,-46.2,1.334,5099.1,0
38426,37,unemployed,married,university.degree,no,yes,no,cellular,oct,thu,249,2,999,1,-3.4,92.431,-26.9,0.733,5017.5,1
34213,52,admin.,married,university.degree,no,no,no,cellular,may,wed,429,3,999,1,-1.8,92.893,-46.2,1.281,5099.1,1
14563,59,blue-collar,married,basic.4y,unknown,yes,no,cellular,jul,tue,85,5,999,0,1.4,93.918,-42.7,4.961,5228.1,0
19180,51,admin.,married,high.school,no,no,no,cellular,aug,tue,178,4,999,0,1.4,93.444,-36.1,4.968,5228.1,0
12049,59,housemaid,married,basic.6y,no,no,no,telephone,jun,fri,207,3,999,0,1.4,94.465,-41.8,4.947,5228.1,0
34174,36,admin.,married,university.degree,no,no,no,cellular,may,wed,449,6,999,0,-1.8,92.893,-46.2,1.281,5099.1,0
15316,41,blue-collar,married,basic.4y,no,no,no,cellular,jul,fri,623,3,999,0,1.4,93.918,-42.7,4.957,5228.1,1
17018,28,unemployed,married,university.degree,no,yes,no,cellular,jul,thu,263,2,999,0,1.4,93.918,-42.7,4.962,5228.1,0
11143,42,technician,single,high.school,no,no,no,telephone,jun,thu,220,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0
39551,35,admin.,single,university.degree,no,yes,no,cellular,apr,thu,388,2,999,0,-1.8,93.749,-34.6,0.659,5008.7,1
17607,49,blue-collar,divorced,basic.6y,unknown,no,no,cellular,jul,mon,1065,3,999,0,1.4,93.918,-42.7,4.962,5228.1,1
21274,54,blue-collar,married,basic.9y,no,yes,no,cellular,aug,mon,956,1,999,0,1.4,93.444,-36.1,4.963,5228.1,1
38150,55,unemployed,married,university.degree,no,yes,yes,cellular,sep,wed,585,1,999,0,-3.4,92.379,-29.8,0.753,5017.5,0
40823,33,technician,single,professional.course,no,yes,no,cellular,sep,fri,395,1,999,0,-1.1,94.199,-37.5,0.879,4963.6,1
39160,21,student,single,basic.9y,no,yes,no,cellular,mar,wed,136,2,999,1,-1.8,93.369,-34.8,0.655,5008.7,1
13068,28,technician,single,professional.course,no,yes,no,cellular,jul,tue,861,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0
33926,29,blue-collar,married,basic.9y,no,no,no,cellular,may,wed,1101,1,999,0,-1.8,92.893,-46.2,1.281,5099.1,1
14788,45,unknown,unknown,unknown,no,yes,yes,cellular,jul,wed,496,1,999,0,1.4,93.918,-42.7,4.957,5228.1,1
35236,58,services,married,basic.6y,no,yes,no,cellular,may,fri,44,2,999,0,-1.8,92.893,-46.2,1.25,5099.1,0
18801,31,services,single,high.school,no,yes,no,cellular,jul,thu,48,3,999,0,1.4,93.918,-42.7,4.968,5228.1,0
34284,43,services,married,high.school,unknown,yes,no,cellular,may,thu,974,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,1
19418,45,blue-collar,married,basic.9y,no,no,no,cellular,aug,wed,61,3,999,0,1.4,93.444,-36.1,4.967,5228.1,0
31137,31,services,married,high.school,no,no,no,cellular,may,wed,339,1,999,0,-1.8,92.893,-46.2,1.334,5099.1,0
38141,43,services,married,basic.6y,no,no,no,cellular,sep,tue,159,1,999,1,-3.4,92.379,-29.8,0.75,5017.5,1
6080,27,services,married,high.school,unknown,yes,no,telephone,may,tue,129,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
38121,33,technician,single,basic.9y,no,no,no,cellular,sep,fri,105,2,999,0,-3.4,92.379,-29.8,0.741,5017.5,0
6901,39,admin.,married,university.degree,no,yes,no,telephone,may,thu,543,1,999,0,1.1,93.994,-36.4,4.86,5191.0,1
30055,61,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,266,5,999,0,-1.8,93.075,-47.1,1.406,5099.1,1
36254,32,technician,married,professional.course,no,unknown,unknown,cellular,jun,mon,210,2,999,1,-2.9,92.963,-40.8,1.266,5076.2,1
28624,41,services,single,high.school,no,yes,yes,cellular,apr,wed,264,2,999,0,-1.8,93.075,-47.1,1.415,5099.1,1
39361,28,admin.,single,university.degree,no,no,no,cellular,mar,fri,157,2,999,1,-1.8,93.369,-34.8,0.636,5008.7,0
6303,38,technician,married,professional.course,unknown,yes,no,telephone,may,tue,153,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
39510,46,admin.,married,high.school,no,no,no,cellular,apr,mon,194,3,999,0,-1.8,93.749,-34.6,0.645,5008.7,1
34508,41,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,174,2,999,0,-1.8,92.893,-46.2,1.266,5099.1,0
34973,30,technician,single,professional.course,no,yes,no,cellular,may,fri,26,6,999,0,-1.8,92.893,-46.2,1.25,5099.1,0
33316,32,blue-collar,divorced,basic.9y,no,yes,no,telephone,may,tue,179,4,999,0,-1.8,92.893,-46.2,1.291,5099.1,0
30141,28,admin.,single,high.school,no,no,no,cellular,apr,thu,571,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,1
36214,26,technician,single,university.degree,no,yes,no,cellular,may,thu,174,4,2,1,-1.8,92.893,-46.2,1.27,5099.1,1
30332,40,technician,married,professional.course,no,yes,no,cellular,apr,thu,580,2,2,1,-1.8,93.075,-47.1,1.365,5099.1,1
33025,44,blue-collar,married,high.school,no,unknown,unknown,cellular,may,mon,279,2,999,0,-1.8,92.893,-46.2,1.299,5099.1,0
21101,33,unemployed,divorced,professional.course,no,no,no,cellular,aug,mon,90,3,999,0,1.4,93.444,-36.1,4.963,5228.1,0
36668,24,student,single,high.school,no,yes,no,telephone,jun,fri,109,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,0
17970,37,admin.,single,high.school,no,yes,no,cellular,jul,tue,234,5,999,0,1.4,93.918,-42.7,4.961,5228.1,0
3513,47,blue-collar,divorced,basic.9y,unknown,yes,no,telephone,may,thu,65,7,999,0,1.1,93.994,-36.4,4.86,5191.0,0
35282,32,technician,single,professional.course,no,yes,no,cellular,may,fri,212,3,999,0,-1.8,92.893,-46.2,1.25,5099.1,0
8827,58,retired,married,basic.4y,unknown,yes,no,telephone,jun,thu,179,1,999,0,1.4,94.465,-41.8,4.866,5228.1,0
39953,37,unemployed,married,university.degree,unknown,yes,no,cellular,jun,mon,614,3,3,2,-1.7,94.055,-39.8,0.754,4991.6,1
25239,39,technician,married,university.degree,no,no,yes,cellular,nov,tue,1437,2,999,0,-0.1,93.2,-42.0,4.153,5195.8,1
15474,57,retired,divorced,basic.4y,unknown,no,no,cellular,jul,fri,655,4,999,0,1.4,93.918,-42.7,4.957,5228.1,1
25714,35,admin.,married,university.degree,no,yes,no,cellular,nov,wed,654,2,999,0,-0.1,93.2,-42.0,4.12,5195.8,1
26622,45,technician,divorced,professional.course,no,yes,yes,cellular,nov,thu,705,1,999,0,-0.1,93.2,-42.0,4.076,5195.8,1
35689,34,self-employed,single,university.degree,no,yes,yes,cellular,may,mon,309,2,999,0,-1.8,92.893,-46.2,1.244,5099.1,0
36464,28,technician,single,professional.course,no,yes,no,cellular,jun,wed,209,2,999,0,-2.9,92.963,-40.8,1.26,5076.2,1
2763,33,unemployed,divorced,basic.9y,no,no,no,telephone,may,wed,1321,2,999,0,1.1,93.994,-36.4,4.859,5191.0,1
14367,32,admin.,single,university.degree,no,no,no,telephone,jul,mon,179,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0
28845,45,services,divorced,basic.4y,no,no,no,cellular,apr,thu,296,1,999,0,-1.8,93.075,-47.1,1.41,5099.1,0
40360,48,admin.,married,university.degree,no,yes,yes,cellular,aug,wed,288,1,0,3,-1.7,94.027,-38.3,0.9,4991.6,1
25342,34,admin.,married,university.degree,no,no,no,cellular,nov,tue,140,2,999,1,-0.1,93.2,-42.0,4.153,5195.8,0
38345,49,admin.,single,high.school,no,yes,no,telephone,oct,fri,434,1,999,1,-3.4,92.431,-26.9,0.739,5017.5,1
40259,68,retired,married,university.degree,no,no,no,cellular,jul,mon,414,2,12,1,-1.7,94.215,-40.3,0.889,4991.6,1
36181,24,technician,single,professional.course,no,unknown,unknown,cellular,may,wed,311,2,999,0,-1.8,92.893,-46.2,1.27,5099.1,1
37933,26,student,single,unknown,no,yes,yes,cellular,sep,thu,733,1,3,1,-3.4,92.379,-29.8,0.809,5017.5,1
22899,41,admin.,married,university.degree,no,no,yes,cellular,aug,mon,114,3,999,0,1.4,93.444,-36.1,4.965,5228.1,0
19670,32,admin.,married,high.school,no,no,no,cellular,aug,thu,876,1,999,0,1.4,93.444,-36.1,4.968,5228.1,1
36542,42,self-employed,married,university.degree,no,yes,no,cellular,jun,wed,436,1,3,1,-2.9,92.963,-40.8,1.26,5076.2,1
22252,29,admin.,divorced,high.school,no,yes,no,cellular,aug,thu,119,2,999,0,1.4,93.444,-36.1,4.963,5228.1,0
26652,39,management,divorced,university.degree,no,yes,no,cellular,nov,thu,10,6,999,1,-0.1,93.2,-42.0,4.076,5195.8,0
34344,32,self-employed,single,professional.course,unknown,yes,no,cellular,may,thu,161,3,999,0,-1.8,92.893,-46.2,1.266,5099.1,0
2057,34,management,married,university.degree,unknown,no,no,telephone,may,mon,102,1,999,0,1.1,93.994,-36.4,4.857,5191.0,0
23334,41,admin.,married,university.degree,no,yes,no,cellular,aug,wed,342,2,999,0,1.4,93.444,-36.1,4.964,5228.1,0
22647,33,admin.,married,university.degree,no,yes,yes,cellular,aug,fri,661,1,999,0,1.4,93.444,-36.1,4.964,5228.1,0
14830,30,admin.,married,high.school,no,no,no,cellular,jul,wed,227,1,999,0,1.4,93.918,-42.7,4.957,5228.1,0
12029,58,retired,married,high.school,no,yes,no,telephone,jun,thu,3183,2,999,0,1.4,94.465,-41.8,4.955,5228.1,1
40163,70,retired,divorced,basic.4y,no,no,no,cellular,jul,thu,390,2,6,2,-1.7,94.215,-40.3,0.846,4991.6,1
10676,33,services,married,high.school,unknown,yes,no,telephone,jun,tue,1345,3,999,0,1.4,94.465,-41.8,4.961,5228.1,1
9256,48,self-employed,married,university.degree,no,no,no,telephone,jun,fri,467,3,999,0,1.4,94.465,-41.8,4.967,5228.1,1
35233,21,student,single,high.school,unknown,no,no,cellular,may,fri,885,3,999,0,-1.8,92.893,-46.2,1.25,5099.1,1
34523,32,blue-collar,married,basic.9y,no,unknown,unknown,cellular,may,thu,1020,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,1
11556,29,technician,married,professional.course,no,yes,no,telephone,jun,fri,1617,1,999,0,1.4,94.465,-41.8,4.959,5228.1,1
32585,25,blue-collar,single,high.school,unknown,yes,no,cellular,may,mon,23,1,999,0,-1.8,92.893,-46.2,1.299,5099.1,0
6086,33,admin.,divorced,high.school,unknown,no,no,telephone,may,tue,161,2,999,0,1.1,93.994,-36.4,4.857,5191.0,0
14592,32,services,single,unknown,unknown,no,no,cellular,jul,tue,981,1,999,0,1.4,93.918,-42.7,4.961,5228.1,1
32094,27,blue-collar,single,high.school,no,no,no,cellular,may,fri,80,4,999,0,-1.8,92.893,-46.2,1.313,5099.1,0
10544,38,admin.,single,university.degree,unknown,no,no,telephone,jun,tue,556,1,999,0,1.4,94.465,-41.8,4.961,5228.1,1
30598,46,blue-collar,married,basic.6y,no,yes,no,cellular,may,mon,1091,3,999,0,-1.8,92.893,-46.2,1.354,5099.1,1
13542,32,technician,married,professional.course,no,yes,no,cellular,jul,thu,255,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1
37708,34,admin.,single,university.degree,no,yes,no,cellular,aug,thu,377,6,3,1,-2.9,92.201,-31.4,0.851,5076.2,1
24046,45,technician,divorced,high.school,no,yes,no,telephone,oct,tue,141,1,999,0,-0.1,93.798,-40.4,4.86,5195.8,1
9675,50,services,single,basic.4y,no,no,no,telephone,jun,mon,514,3,999,0,1.4,94.465,-41.8,4.961,5228.1,0
37026,23,student,single,high.school,no,yes,no,cellular,jul,tue,682,2,13,1,-2.9,92.469,-33.6,1.044,5076.2,1
40460,31,admin.,married,university.degree,no,no,no,cellular,aug,tue,317,2,999,1,-1.7,94.027,-38.3,0.904,4991.6,1
17939,35,services,married,high.school,no,yes,no,cellular,jul,tue,110,3,999,0,1.4,93.918,-42.7,4.961,5228.1,0
37579,17,student,single,basic.9y,no,unknown,unknown,cellular,aug,fri,498,2,999,1,-2.9,92.201,-31.4,0.869,5076.2,1
40622,58,entrepreneur,married,high.school,no,yes,no,cellular,sep,mon,198,1,999,1,-1.1,94.199,-37.5,0.882,4963.6,0
31353,33,entrepreneur,married,university.degree,unknown,yes,no,cellular,may,wed,92,2,999,1,-1.8,92.893,-46.2,1.334,5099.1,0
28192,41,admin.,married,university.degree,no,no,no,cellular,apr,tue,463,1,999,0,-1.8,93.075,-47.1,1.453,5099.1,1
1082,29,admin.,single,high.school,no,yes,no,telephone,may,wed,245,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0
16050,27,admin.,single,university.degree,unknown,yes,yes,cellular,jul,tue,255,1,999,0,1.4,93.918,-42.7,4.961,5228.1,0
40510,34,technician,single,basic.9y,no,no,no,cellular,aug,mon,205,3,6,3,-1.7,94.027,-38.3,0.896,4991.6,1
30283,56,entrepreneur,married,university.degree,no,no,no,cellular,apr,thu,457,1,2,1,-1.8,93.075,-47.1,1.365,5099.1,1
34384,27,admin.,married,professional.course,no,yes,no,cellular,may,thu,1166,1,999,0,-1.8,92.893,-46.2,1.266,5099.1,0
1824,29,management,single,university.degree,no,no,no,telephone,may,fri,118,1,999,0,1.1,93.994,-36.4,4.855,5191.0,0
38720,33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,344,2,3,1,-3.4,92.649,-30.1,0.715,5017.5,1
36250,28,admin.,single,university.degree,no,no,no,cellular,jun,mon,69,1,999,1,-2.9,92.963,-40.8,1.266,5076.2,1
36955,59,blue-collar,divorced,basic.4y,no,no,no,cellular,jul,thu,367,1,999,0,-2.9,92.469,-33.6,1.072,5076.2,1
4494,57,retired,married,basic.4y,no,yes,yes,telephone,may,tue,438,2,999,0,1.1,93.994,-36.4,4.856,5191.0,0
14366,57,blue-collar,married,basic.4y,no,yes,no,cellular,jul,mon,364,3,999,0,1.4,93.918,-42.7,4.962,5228.1,0
41174,62,retired,married,university.degree,no,yes,no,cellular,nov,thu,208,1,1,6,-1.1,94.767,-50.8,1.031,4963.6,1
3628,40,entrepreneur,married,university.degree,no,no,no,telephone,may,fri,803,1,999,0,1.1,93.994,-36.4,4.859,5191.0,1
16253,25,services,single,unknown,no,yes,no,cellular,jul,tue,598,5,999,0,1.4,93.918,-42.7,4.961,5228.1,1
40771,26,technician,single,university.degree,no,yes,no,cellular,sep,fri,284,3,999,1,-1.1,94.199,-37.5,0.879,4963.6,1
40767,34,technician,single,university.degree,no,no,no,cellular,sep,fri,285,3,999,1,-1.1,94.199,-37.5,0.879,4963.6,1
30164,54,management,married,university.degree,no,yes,no,cellular,apr,thu,85,1,999,0,-1.8,93.075,-47.1,1.365,5099.1,0
38767,65,retired,single,university.degree,no,no,no,cellular,nov,thu,253,1,999,2,-3.4,92.649,-30.1,0.714,5017.5,1
38411,36,admin.,married,university.degree,no,yes,no,cellular,oct,wed,825,1,6,1,-3.4,92.431,-26.9,0.735,5017.5,1
28207,32,technician,single,university.degree,no,no,no,cellular,apr,tue,721,4,999,0,-1.8,93.075,-47.1,1.453,5099.1,1
22463,29,admin.,single,university.degree,no,yes,yes,cellular,aug,fri,33,4,999,0,1.4,93.444,-36.1,4.964,5228.1,0
19390,45,admin.,divorced,high.school,no,yes,yes,cellular,aug,wed,192,3,999,0,1.4,93.444,-36.1,4.967,5228.1,0
39238,31,technician,married,university.degree,no,no,no,cellular,mar,wed,625,4,999,0,-1.8,93.369,-34.8,0.651,5008.7,0
33013,27,blue-collar,married,basic.4y,unknown,yes,no,cellular,may,mon,74,3,999,0,-1.8,92.893,-46.2,1.299,5099.1,0
5908,33,technician,married,professional.course,no,yes,no,telephone,may,mon,349,4,999,0,1.1,93.994,-36.4,4.857,5191.0,0
18150,33,blue-collar,divorced,basic.9y,no,yes,no,cellular,jul,wed,729,2,999,0,1.4,93.918,-42.7,4.963,5228.1,1
38897,43,admin.,married,university.degree,no,yes,no,cellular,nov,tue,255,1,999,0,-3.4,92.649,-30.1,0.715,5017.5,1
40295,31,technician,single,university.degree,no,no,no,cellular,jul,thu,200,4,999,1,-1.7,94.215,-40.3,0.899,4991.6,1
28417,33,self-employed,married,university.degree,no,yes,no,cellular,apr,thu,233,1,999,0,-1.8,93.075,-47.1,1.435,5099.1,1
34986,27,blue-collar,married,basic.9y,no,no,yes,cellular,may,fri,12,5,999,0,-1.8,92.893,-46.2,1.25,5099.1,0
29735,24,admin.,single,professional.course,no,yes,no,cellular,apr,mon,97,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1
29739,59,technician,divorced,professional.course,no,no,no,cellular,apr,mon,185,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1
13836,35,admin.,married,high.school,unknown,yes,no,cellular,jul,fri,794,1,999,0,1.4,93.918,-42.7,4.963,5228.1,1
31438,30,admin.,divorced,high.school,no,yes,no,cellular,may,wed,422,1,999,1,-1.8,92.893,-46.2,1.334,5099.1,0
32500,25,admin.,single,high.school,no,no,no,cellular,may,fri,682,3,999,1,-1.8,92.893,-46.2,1.313,5099.1,1
38756,33,admin.,married,university.degree,no,yes,no,telephone,nov,wed,241,1,3,1,-3.4,92.649,-30.1,0.715,5017.5,1
11754,42,blue-collar,married,basic.4y,unknown,yes,no,telephone,jun,fri,29,27,999,0,1.4,94.465,-41.8,4.959,5228.1,0
36661,32,admin.,single,university.degree,no,no,no,cellular,jun,fri,255,1,999,0,-2.9,92.963,-40.8,1.268,5076.2,1
11263,36,blue-collar,married,basic.4y,no,no,no,telephone,jun,thu,97,1,999,0,1.4,94.465,-41.8,4.961,5228.1,0
7793,46,admin.,married,university.degree,no,yes,no,telephone,jun,mon,502,5,999,0,1.4,94.465,-41.8,4.865,5228.1,1
37568,71,retired,married,basic.4y,no,yes,no,cellular,aug,fri,125,1,999,0,-2.9,92.201,-31.4,0.869,5076.2,1
38715,33,admin.,married,university.degree,no,yes,no,cellular,nov,tue,318,2,3,3,-3.4,92.649,-30.1,0.715,5017.5,1
27483,32,admin.,divorced,university.degree,no,yes,no,cellular,nov,fri,101,3,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
36805,46,admin.,divorced,high.school,no,yes,no,cellular,jun,mon,372,1,999,0,-2.9,92.963,-40.8,1.26,5076.2,1
14805,34,admin.,married,university.degree,no,yes,no,cellular,jul,wed,686,6,999,0,1.4,93.918,-42.7,4.957,5228.1,1
19926,37,technician,divorced,professional.course,no,no,no,cellular,aug,fri,780,2,999,0,1.4,93.444,-36.1,4.966,5228.1,1
12197,26,blue-collar,married,university.degree,no,no,no,telephone,jul,wed,63,4,999,0,1.4,93.918,-42.7,4.956,5228.1,0
27183,37,blue-collar,married,basic.6y,no,no,no,cellular,nov,fri,68,1,999,0,-0.1,93.2,-42.0,4.021,5195.8,0
20655,57,admin.,single,university.degree,unknown,yes,no,cellular,aug,wed,334,1,999,0,1.4,93.444,-36.1,4.965,5228.1,0
35652,39,technician,married,professional.course,no,yes,yes,cellular,may,mon,525,1,999,0,-1.8,92.893,-46.2,1.244,5099.1,1
40191,22,admin.,single,university.degree,no,yes,no,telephone,jul,mon,484,1,999,2,-1.7,94.215,-40.3,0.87,4991.6,1
2888,35,self-employed,single,basic.6y,unknown,no,yes,telephone,may,wed,138,2,999,0,1.1,93.994,-36.4,4.859,5191.0,0
36756,22,admin.,single,university.degree,no,unknown,unknown,cellular,jun,tue,835,2,999,0,-2.9,92.963,-40.8,1.286,5076.2,0
29985,47,housemaid,single,professional.course,no,yes,no,cellular,apr,tue,100,1,999,0,-1.8,93.075,-47.1,1.405,5099.1,1
9042,52,blue-collar,married,unknown,unknown,yes,no,telephone,jun,thu,60,3,999,0,1.4,94.465,-41.8,4.866,5228.1,0
37021,26,services,single,high.school,no,yes,no,cellular,jul,tue,407,1,13,1,-2.9,92.469,-33.6,1.044,5076.2,1
37955,18,student,single,unknown,no,yes,no,cellular,sep,fri,563,1,999,0,-3.4,92.379,-29.8,0.803,5017.5,1
38728,52,admin.,divorced,university.degree,no,no,no,cellular,nov,tue,213,1,999,0,-3.4,92.649,-30.1,0.715,5017.5,1
30558,52,admin.,married,university.degree,no,no,yes,cellular,may,mon,434,2,999,0,-1.8,92.893,-46.2,1.354,5099.1,0
